Company,companyName (linkedin),companyUrl (linkedin),activityArea (linkedin),confidence (linkedin),search company status,Company name (linkedin),Company universalName (linkedin),Company website (linkedin),Company linkedin url (linkedin),Company founded on (linkedin),Company tagline (linkedin),Company staff count range (linkedin),Company staff (linkedin),Company phone number (linkedin),Company country (linkedin),Company geographic area (linkedin),Company city (linkedin),Company postal code (linkedin),Company street address (linkedin),Company id (linkedin),Company associated hashtags (linkedin),Company industries (linkedin),Company specialities (linkedin),Company description (linkedin),Company followers (linkedin),Company funding rounds (linkedin),Company last funding money raised (linkedin),Company last funding announced on (linkedin),enrich companies status
SEAO2CDR,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Submarineearth,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Subtidal,subtidal,https://www.linkedin.com/company/91148149,Climate Data and Analytics,0.5,Found,Subtidal,subtidal,https://www.subtidal.com/,https://www.linkedin.com/company/subtidal,2023,Revolutionizing Ocean Carbon Sequestration Monitoring,10-Feb,3,,,,,,,91148149,,IT Services and IT Consulting,,Subtidal aims to catalyze the massive climate potential of ocean carbon dioxide removal by developing innovative monitoring and verification solutions that quantify net CO2 drawdown and deliver insights to enhance ocean CDR project impact. ,641,,,,Found
Carbon to Sea,carbon to sea initiative,https://www.linkedin.com/company/94216159,Non-profit Organizations,1,Found,Carbon to Sea Initiative,carbontosea,http://www.CarbonToSea.org,https://www.linkedin.com/company/carbontosea,2022,R&D on the ocean's natural mechanisms for safely removing carbon from our atmosphere.,10-Feb,13,,,,,,,94216159,"oceanalkalinity, oceancdr, oceanclimatenexus",Non-profit Organizations,,"The Carbon to Sea Initiative is a non-profit program to determine if and how ocean alkalinity enhancement can safely remove and store billions of tons of atmospheric CO2.​ To achieve this, we bring together the best scientists, engineers, field builders, and market shapers to systematically assess whether and how OAE can be a safe, scalable, and permanent CDR method, and to lay the groundwork for cost-effective and responsible deployment in the future. We engage stakeholders of all kinds to create a richly-collaborative approach with communities around the world interested in tackling climate change. 

Follow along our journey to hear about grant announcements, publications and fresh insights on ocean cdr.",4568,,,,Found
EDAC Labs,edac labs,https://www.linkedin.com/company/87973957,Environmental Services,1,Found,EDAC Labs,edac-labs,http://www.edaclabs.com,https://www.linkedin.com/company/edac-labs,2022,Deceptively simple direct air capture using acid/base chemistry.,10-Feb,11,,US,Maryland,Beltsville,20705,7040 Virginia Manor Rd,87973957,"cdr, edaclabs",Environmental Services,,"EDAC Labs is a spin-out from Professor Chao Wang's lab at Johns Hopkins University School of Engineering. We're committed to the development of negative-emission technologies and decarbonization through affordable, scalable direct air capture of carbon dioxide, carbon-negative mining, and other Ph swing applications.",589,1,3000000 USD,8/14/2023,Found
The acidd project,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
CarbonRun,carbonrun,https://www.linkedin.com/company/82552843,Environmental Services,0.5,Found,CarbonRun,carbonrun,https://www.carbonrun.io,https://www.linkedin.com/company/carbonrun,2022,Healthy Rivers. Healthy Planet.,Nov-50,23,,CA,Nova Scotia,Dartmouth,B2Y 4M9,,82552843,"cdr, climatetechcanada, carbonremoval",Environmental Services,"CDR, Enhanced Weathering, Carbon drawdown",Healthy rivers make a healthy planet. Our mission is to restore the health of rivers and their natural ability to draw carbon from land-to-ocean.,2814,,,,Found
Green Sea Upwelling,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Labs,aquatic labs,https://www.linkedin.com/company/96235170,Climate Technology Product Manufacturing,1,Found,Aquatic Labs,aquatic-labs,https://aquatic-labs.com/,https://www.linkedin.com/company/aquatic-labs,,Situational Awareness for the Blue Economy,10-Feb,18,,US,Massachusetts,Cambridge,2139,614 Massachusetts Ave,96235170,,Renewable Energy Semiconductor Manufacturing,,"Aquatic's mission is to reveal the invisible throughout the world's waters.  

Based in Cambridge, Massachusetts, Aquatic is combining cutting-edge semiconductor technology, transformative ocean science, agile development methods, and modern fabrication approaches to create globally-scalable tools for tracking carbon, nutrients, and biodiversity persistently and pervasively throughout the world’s oceans – tools that are absolutely essential and desperately needed for monitoring and verification of ocean carbon sequestration, as well as a host of other global industries.

From carbonate sensing to genomic surveillance, Aquatic is redefining what is possible to know underwater.",1137,,,,Found
Climate Foundation,climate foundation,https://www.linkedin.com/company/2810388,Environmental Services,1,Found,Climate Foundation,climate-foundation,http://www.climatefoundation.org,https://www.linkedin.com/company/climate-foundation,2007,We design #NatureBasedSolutions that regenerate life & balance carbon. Creators of #MarinePermaculture. XPRIZE Winner.,Nov-50,22,,US,Massachusetts (MA),Woods Hole,2543,3 little harbor road,2810388,"permaculture, regeneration, climatechange",Environmental Services,"Carbon Balance, Deep water air conditioning and OTEC, Biochar processing for sanitation and agriculture, Restoring ocean productivity","The Climate Foundation is dedicated to educating and empowering people to balance carbon on land and sea on a global basis. We have developed several sustainable approaches to balancing carbon in the environment. Once society adopts sustainable practices and substantially reduces carbon emissions in our lifetimes, we believe it is still possible to reverse the man-made factors leading to climate disruption.

We are working to moderate and reverse the effects of climate change in critical ecosystems, including; 


Developing agricultural use of biochar to sequester gigatons of carbon for millennia.
Incorporating biochar as sanitation, fertilizer substrate and carbon sequestration in lean regions.
Balancing carbon in the oceans by restoring natural processes at work for eons to reduce carbon in surface waters. 
Reversing coral bleaching on high-value coral reefs to preserve portions of these ecosystems during the high-temperature decades to come. 
Encouraging and facilitating the adoption of renewable energy for electricity and transportation in place of fossil fuels throughout the world, including:
displacing diesel power with renewable energy generation in remote locales
reducing noise issues associated with residential wind turbines
enabling energy storage technologies to store renewable energy for dispatch during peak hours.",2507,,,,Found
Planetary,planetary,https://www.linkedin.com/company/64557425,Environmental Services,0.13,Found,Planetary,planetary-tech,http://planetarytech.com,https://www.linkedin.com/company/planetary-tech,2019,Seawater restoration to rebalance the climate,Nov-50,32,,CA,Nova Scotia,Dartmouth,B2Y 4W6,24 Orion Crt,64557425,"oceantech, mining, climatechange",Environmental Services,,"Planetary is on a mission to fight climate change by helping the ocean remove carbon dioxide from the atmosphere.

We strive to enhance the planet’s largest natural carbon removal process: the geologic carbon cycle.

We work collaboratively with world-class scientific institutions, regulators, and local communities to develop safe and sustainable carbon removal methods.",5974,1,11350000 USD,10/24/2024,Found
Seachange,seachange indonesia,https://www.linkedin.com/company/seachangeindonesia,Printing Services,0.13,Found,Seachange Indonesia,seachangeindonesia,http://www.seachange-indonesia.com,https://www.linkedin.com/company/seachangeindonesia,2023,"Coral by coral, see the change. Reef ecosystem rehabilitation, research station, and outreach based in Gili Asahan.",10-Feb,1,,ID,Nusa Tenggara Barat,Kabupaten Lombok Barat,,Gili Asahan,101926382,,Environmental Services,,"SeaChange Indonesia is empowering individuals, initiatives, and communities in guarding Indonesia's coral reefs and marine life, with our main operation in Sekotong Bay. We have established constructive and fruitful relationships with our collaborative partners to achieve our goals quickly, sustainably, and with continuous impact.
",11,,,,Found
SeaCO2,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
